time,magX,magY,magZ,accX,accY,accZ,gyrX,gyrY,gyrZ,eulerX,eulerY,eulerZ,linX,linY,linZ,gravX,gravY,gravZ
1686659464.27098,4.25,-24.0,-46.5,-0.3,0.34,9.42,0.0,0.0,0.002181661564992912,186.0,-1.4375,-2.0,-0.04,0.0,-0.42,-0.25,0.34,9.790000000000001
1686659464.32112,4.6875,-22.875,-46.5625,-0.29,0.34,9.39,0.002181661564992912,0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.04,0.01,-0.4,-0.25,0.34,9.790000000000001
1686659464.370814,4.25,-22.875,-45.375,-0.3,0.33,9.39,-0.001090830782496456,0.002181661564992912,0.001090830782496456,186.0,-1.4375,-2.0,-0.04,0.02,-0.42,-0.25,0.34,9.790000000000001
1686659464.421334,3.875,-22.875,-45.75,-0.29,0.34,9.38,0.002181661564992912,-0.001090830782496456,0.001090830782496456,186.0,-1.4375,-2.0,-0.05,0.0,-0.43,-0.25,0.34,9.790000000000001
1686659464.471518,3.875,-23.1875,-45.0,-0.28,0.34,9.38,0.0,-0.002181661564992912,0.0,186.0,-1.4375,-2.0,-0.03,0.0,-0.42,-0.25,0.34,9.790000000000001
1686659464.521399,3.875,-22.875,-46.0625,-0.29,0.34,9.39,0.0,0.003272492347489368,-0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.0,-0.43,-0.25,0.34,9.790000000000001
1686659464.571555,2.875,-23.1875,-45.6875,-0.28,0.34,9.39,0.002181661564992912,-0.002181661564992912,0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.0,-0.44,-0.25,0.34,9.790000000000001
1686659464.621821,3.875,-22.5,-44.875,-0.28,0.33,9.38,0.0,-0.003272492347489368,-0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.0,-0.44,-0.25,0.34,9.790000000000001
1686659464.672145,3.1875,-22.875,-46.0625,-0.27,1.61,9.370000000000001,-0.001090830782496456,-0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.05,0.0,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659464.723096,3.1875,-22.5,-46.5625,-0.26,0.34,9.4,0.0,0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.03,0.01,-0.42,-0.25,0.34,9.790000000000001
1686659464.773304,3.5,-22.0625,-47.0,-0.27,0.34,9.39,0.001090830782496456,0.0,0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.0,-0.43,-0.25,0.34,9.790000000000001
1686659464.822463,3.875,-22.875,-45.75,-0.29,0.35000000000000003,9.39,0.001090830782496456,-0.002181661564992912,-0.002181661564992912,186.0,-1.4375,-2.0,-0.03,0.0,-0.42,-0.25,0.34,9.790000000000001
1686659464.8725,3.1875,-23.1875,-46.875,-0.29,0.32,9.4,0.0,0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.04,0.0,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659464.922915,5.0,-22.875,-45.75,-0.29,0.34,9.4,0.001090830782496456,0.001090830782496456,-0.001090830782496456,186.0,-1.4375,-2.0,-0.02,0.01,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659464.974529,3.1875,-23.1875,-45.25,-0.29,0.33,9.41,0.001090830782496456,-0.001090830782496456,0.0,186.0,-1.4375,-2.0,-0.04,0.0,-0.41000000000000003,-0.25,0.34,9.790000000000001
1686659465.024106,3.1875,-22.5,-45.6875,-0.29,0.35000000000000003,9.39,-0.001090830782496456,0.0,-0.001090830782496456,186.0,-1.4375,-2.0,-0.03,0.0,-0.45,-0.25,0.34,9.790000000000001
1686659465.073109,4.25,-23.1875,-47.25,-0.28,0.36,9.38,0.0,0.001090830782496456,0.001090830782496456,186.0,-1.4375,-2.0,-0.05,0.02,-0.43,-0.25,0.34,9.790000000000001
